epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,829.576,1.50876,1.26431,1.04534,0.49698,0.35626,0.35905,0.1927,1.40779,0.92161,0.9968,0.000256304,0.000256304,0.000256304
2,1608.56,1.43077,0.96959,1.02411,0.53995,0.37905,0.40193,0.22033,1.36394,0.85024,0.98482,0.000411135,0.000411135,0.000411135
3,2347.46,1.40602,0.92755,1.01553,0.5652,0.40187,0.42964,0.23611,1.33983,0.81628,0.97615,0.000464458,0.000464458,0.000464458
4,3094.63,1.37534,0.88969,1.00501,0.58856,0.41025,0.44396,0.24662,1.32582,0.79629,0.96789,0.000312214,0.000312214,0.000312214
5,3846.29,1.34933,0.85401,0.99359,0.59492,0.42043,0.45703,0.25437,1.31451,0.78061,0.96419,0.000159952,0.000159952,0.000159952
